date,K-커버드형
2018-07-24,1138.11 
2018-07-23,1143.28 
2018-07-22,1143.28 
2018-07-21,1143.28 
2018-07-20,1140.73 
2018-07-19,1142.02 
2018-07-18,1142.67 
2018-07-17,1143.36 
2018-07-16,1145.53 
2018-07-15,1145.53 
2018-07-14,1145.53 
2018-07-13,1137.65 
2018-07-12,1136.59 
2018-07-11,1140.80 
2018-07-10,1138.62 
2018-07-09,1133.16 
2018-07-08,1133.16 
2018-07-07,1133.16 
2018-07-06,1129.54 
2018-07-05,1131.17 
2018-07-04,1133.91 
2018-07-03,1132.64 
2018-07-02,1149.61 
2018-07-01,1149.61 
2018-06-30,1149.61 
2018-06-29,1146.55 
2018-06-28,1154.00 
2018-06-27,1155.59 
2018-06-26,1157.25 
2018-06-25,1157.95 
2018-06-24,1157.95 
2018-06-23,1157.95 
2018-06-22,1151.44 
2018-06-21,1158.94 
2018-06-20,1152.39 
2018-06-19,1162.58 
2018-06-18,1170.87 
2018-06-17,1170.87 
2018-06-16,1170.88 
2018-06-15,1175.72 
2018-06-14,1190.85 
2018-06-13,1190.85 
2018-06-12,1191.65 
2018-06-11,1185.69 
2018-06-10,1185.70 
2018-06-09,1185.70 
2018-06-08,1192.88 
2018-06-07,1186.76 
2018-06-06,1186.76 
2018-06-05,1184.53 
2018-06-04,1180.27 
2018-06-03,1180.27 
2018-06-02,1180.27 
2018-06-01,1174.24 
2018-05-31,1169.73 
2018-05-30,1188.01 
2018-05-29,1194.54 
2018-05-28,1192.29 
2018-05-27,1192.29 
2018-05-26,1192.30 
2018-05-25,1190.70 
2018-05-24,1192.34 
2018-05-23,1187.44 
2018-05-22,1187.44 
2018-05-21,1185.67 
2018-05-20,1185.68 
2018-05-19,1185.68 
2018-05-18,1183.09 
2018-05-17,1186.59 
2018-05-16,1184.07 
2018-05-15,1190.55 
2018-05-14,1191.84 
2018-05-13,1191.84 
2018-05-12,1191.85 
2018-05-11,1188.98 
2018-05-10,1182.12 
2018-05-09,1184.83 
2018-05-08,1187.66 
2018-05-07,1187.67 
2018-05-06,1187.67 
2018-05-05,1187.68 
2018-05-04,1194.65 
2018-05-03,1198.44 
2018-05-02,1199.45 
2018-05-01,1199.46 
2018-04-30,1193.56 
2018-04-29,1193.57 
2018-04-28,1193.57 
2018-04-27,1187.66 
2018-04-26,1177.93 
2018-04-25,1182.64 
2018-04-24,1187.30 
2018-04-23,1187.16 
2018-04-22,1187.16 
2018-04-21,1187.17 
2018-04-20,1191.58 
2018-04-19,1187.88 
2018-04-18,1179.50 
2018-04-17,1179.87 
2018-04-16,1173.75 
2018-04-15,1179.13 
2018-04-14,1179.13 
2018-04-13,1173.94 
2018-04-12,1172.68 
2018-04-11,1175.18 
2018-04-10,1173.75 
2018-04-09,1168.94 
2018-04-08,1168.94 
2018-04-07,1168.95 
2018-04-06,1172.79 
2018-04-05,1160.14 
2018-04-04,1172.60 
2018-04-03,1173.82 
